index,raw_title,artist,song,feat,uploader,youtube_url,ziv,smo,google
1,"Tokyo Manaka - Kaitan no Susume feat. Hashimero, 9Lana",Tokyo Manaka,Kaitan no Susume,"Hashimero, 9Lana",Tokyo Manaka,https://www.youtube.com/watch?v=-yQlMbtTDJo,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Kaitan+no+Susume%22+Tokyo+Manaka,https://stepmaniaonline.net/search/title/Kaitan%20no%20Susume,https://www.google.com/search?q=Tokyo+Manaka+Kaitan+no+Susume+stepmania+simfile+sm+download
2,Tokyo Manaka - Brain Rot feat. Kasane Teto,Tokyo Manaka,Brain Rot,Kasane Teto,Tokyo Manaka,https://www.youtube.com/watch?v=UsjsYMo3O1Q,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Brain+Rot%22+Tokyo+Manaka,https://stepmaniaonline.net/search/title/Brain%20Rot,https://www.google.com/search?q=Tokyo+Manaka+Brain+Rot+stepmania+simfile+sm+download
3,"【ハク。Cover企画】MONO NO AWARE ""かむかもしかもにどもかも！""",,"MONO NO AWARE ""かむかもしかもにどもかも！",,haku.,https://www.youtube.com/watch?v=J76S5q_ETfo,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22MONO+NO+AWARE+%22%E3%81%8B%E3%82%80%E3%81%8B%E3%82%82%E3%81%97%E3%81%8B%E3%82%82%E3%81%AB%E3%81%A9%E3%82%82%E3%81%8B%E3%82%82%EF%BC%81%22,https://stepmaniaonline.net/search/title/MONO%20NO%20AWARE%20%22%E3%81%8B%E3%82%80%E3%81%8B%E3%82%82%E3%81%97%E3%81%8B%E3%82%82%E3%81%AB%E3%81%A9%E3%82%82%E3%81%8B%E3%82%82%EF%BC%81,https://www.google.com/search?q=MONO+NO+AWARE+%22%E3%81%8B%E3%82%80%E3%81%8B%E3%82%82%E3%81%97%E3%81%8B%E3%82%82%E3%81%AB%E3%81%A9%E3%82%82%E3%81%8B%E3%82%82%EF%BC%81+stepmania+simfile+sm+download
4,雑魚 / 亞北ネル,,雑魚 / 亞北ネル,,Hiiragi Magnetite,https://www.youtube.com/watch?v=kqj7b59D85Y,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22%E9%9B%91%E9%AD%9A+%2F+%E4%BA%9E%E5%8C%97%E3%83%8D%E3%83%AB%22,https://stepmaniaonline.net/search/title/%E9%9B%91%E9%AD%9A%20%E4%BA%9E%E5%8C%97%E3%83%8D%E3%83%AB,https://www.google.com/search?q=%E9%9B%91%E9%AD%9A+%2F+%E4%BA%9E%E5%8C%97%E3%83%8D%E3%83%AB+stepmania+simfile+sm+download
5,natori - Propose,natori,Propose,,なとり / natori,https://www.youtube.com/watch?v=VDdLF1YubI0,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Propose%22+natori,https://stepmaniaonline.net/search/title/Propose,https://www.google.com/search?q=natori+Propose+stepmania+simfile+sm+download
6,Aiobahn feat. ヰ世界情緒 - new world (Official Music Video),Aiobahn,new world,ヰ世界情緒,Aiobahn,https://www.youtube.com/watch?v=evloseZCQcc,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22new+world%22+Aiobahn,https://stepmaniaonline.net/search/title/new%20world,https://www.google.com/search?q=Aiobahn+new+world+stepmania+simfile+sm+download
7,[MV] ABM - '次元通信' (Signaling) Hatsune Miku & Kasane Teto,ABM,次元通信' (Signaling) Hatsune Miku & Kasane Teto,,AnythingBecomeMoe and TEKOKITO,https://www.youtube.com/watch?v=PqpCRSOUuIE,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22%E6%AC%A1%E5%85%83%E9%80%9A%E4%BF%A1%27+%28Signaling%29+Hatsune+Miku+%26+Kasane+Teto%22+ABM,https://stepmaniaonline.net/search/title/%E6%AC%A1%E5%85%83%E9%80%9A%E4%BF%A1%27%20%28Signaling%29%20Hatsune%20Miku%20%26%20Kasane%20Teto,https://www.google.com/search?q=ABM+%E6%AC%A1%E5%85%83%E9%80%9A%E4%BF%A1%27+%28Signaling%29+Hatsune+Miku+%26+Kasane+Teto+stepmania+simfile+sm+download
8,Aiobahn +81 feat. ななひら & P丸様。- 天天天国地獄国 (Official Music Video),,Aiobahn +81- 天天天国地獄国,ななひら & P丸様。,Aiobahn,https://www.youtube.com/watch?v=eTplxWaAD8o,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Aiobahn+%2B81-+%E5%A4%A9%E5%A4%A9%E5%A4%A9%E5%9B%BD%E5%9C%B0%E7%8D%84%E5%9B%BD%22,https://stepmaniaonline.net/search/title/Aiobahn%20%2B81-%20%E5%A4%A9%E5%A4%A9%E5%A4%A9%E5%9B%BD%E5%9C%B0%E7%8D%84%E5%9B%BD,https://www.google.com/search?q=Aiobahn+%2B81-+%E5%A4%A9%E5%A4%A9%E5%A4%A9%E5%9B%BD%E5%9C%B0%E7%8D%84%E5%9B%BD+stepmania+simfile+sm+download
9,Aiobahn feat. ナナヲアカリ - しあわせになんてならないで (Official Music Video),Aiobahn,しあわせになんてならないで,ナナヲアカリ,Aiobahn,https://www.youtube.com/watch?v=yfrBPWDTCpE,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22%E3%81%97%E3%81%82%E3%82%8F%E3%81%9B%E3%81%AB%E3%81%AA%E3%82%93%E3%81%A6%E3%81%AA%E3%82%89%E3%81%AA%E3%81%84%E3%81%A7%22+Aiobahn,https://stepmaniaonline.net/search/title/%E3%81%97%E3%81%82%E3%82%8F%E3%81%9B%E3%81%AB%E3%81%AA%E3%82%93%E3%81%A6%E3%81%AA%E3%82%89%E3%81%AA%E3%81%84%E3%81%A7,https://www.google.com/search?q=Aiobahn+%E3%81%97%E3%81%82%E3%82%8F%E3%81%9B%E3%81%AB%E3%81%AA%E3%82%93%E3%81%A6%E3%81%AA%E3%82%89%E3%81%AA%E3%81%84%E3%81%A7+stepmania+simfile+sm+download
10,DECO*27 - Monitoring feat. Hatsune Miku,DECO*27,Monitoring,Hatsune Miku,DECO*27,https://www.youtube.com/watch?v=kbNdx0yqbZE,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Monitoring%22+DECO%2A27,https://stepmaniaonline.net/search/title/Monitoring,https://www.google.com/search?q=DECO%2A27+Monitoring+stepmania+simfile+sm+download
